state,district,election_year,cand_fname,cand_lname,vote_percent_primary,vote_percent_general,winner_primary,winner_general,ran_primary,ran_general,primary_contested,general_contested,primary_contested_reconciled,general_contested_reconciled,uncontested_prim_final,uncontested_gen_final,election_unique_identifier,candidate_unique_identifier,abb,district_unique_identifier,counties_total,city_election_outliers,year_state_district_unique_identifier,cand_gender,incum_chall,party,vote_count_general,vote_count_primary
Alabama,10,2018,Daniel,Carr,78.23,56.8,W,W,Y,Y,NA,NA,contested,contested,0,0,NA,NA,NA,NA,NA,NA,NA,M,C,Dem,143815,34773
Alabama,10,2018,Raymond,Johnson,21.77,NA,L,NA,Y,N,NA,NA,contested,did_not_run,0,0,NA,NA,NA,NA,NA,NA,NA,M,C,Dem,NA,9674
Alabama,10,2018,Mike,Anderton,59.9,43.17,W,L,Y,Y,NA,NA,contested,contested,0,0,NA,NA,NA,NA,NA,NA,NA,M,I,Rep,109309,17100
Alabama,10,2018,Bill,Veitch,40.1,NA,L,NA,Y,N,NA,NA,contested,did_not_run,0,0,NA,NA,NA,NA,NA,NA,NA,M,C,Rep,NA,11469
Arizona,Apache,2020,Michael,Whiting,98.69,97.06,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,az-apache-2020-whiting,az-whiting-michael,AZ,az-apache,Apache,NA,2020-az-apache,M,I,Dem,27699,9674
Arizona,Cochise,2020,Brian,McIntyre,99.39,98.2,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,az-cochise-2020-mcintyre,az-mcintyre-brian,AZ,az-cochise,Cochise,NA,2020-az-cochise,M,I,Rep,47250,15361
Arizona,Coconino,2020,William,Ring,99.28,97.75,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,az-coconino-2020-ring,az-ring-william,AZ,az-coconino,Coconino,NA,2020-az-coconino,M,I,Dem,52054,17394
Arizona,Gila,2020,Bradley,Beauchamp,99.36,98.62,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,az-gila-2020-beauchamp,az-beauchamp-bradley,AZ,az-gila,Gila,NA,2020-az-gila,M,I,Rep,20602,7891
Arizona,Graham,2020,Bennett,Scott,99.39,98.96,W,W,Y,Y,uncontested,uncontested,uncontested,uncontested,1,1,az-graham-2020-bennett,az-bennett-l-scott,AZ,az-graham,Graham,NA,2020-az-graham,M,O,Rep,12605,4379
Arizona,Greenlee,2020,Jeremy,Ford,NA,98.44,NA,W,N,Y,other,uncontested,did_not_run,uncontested,0,1,az-greenlee-2020-ford,az-ford-jeremy,AZ,az-greenlee,Greenlee,NA,2020-az-greenlee,M,I,Ind,3090,NA
